iter	Passed	Remaining
0	161	161427
1	162	80858
2	162	53973
3	162	40528
4	163	32462
5	163	27085
6	163	23243
7	164	20362
8	164	18126
9	164	16332
10	165	14865
11	165	13642
12	166	12610
13	166	11724
14	166	10955
15	167	10283
16	167	9690
17	167	9161
18	168	8688
19	168	8263
20	169	7889
21	169	7540
22	169	7221
23	170	6927
24	170	6660
25	171	6411
26	171	6180
27	171	5965
28	172	5765
29	172	5578
30	172	5404
31	173	5240
32	173	5086
33	173	4942
34	174	4805
35	174	4676
36	175	4554
37	175	4439
38	175	4329
39	176	4225
40	176	4126
41	176	4032
42	177	3942
43	177	3856
44	177	3774
45	178	3696
46	178	3623
47	179	3552
48	179	3483
49	179	3417
50	180	3353
51	180	3291
52	180	3232
53	181	3175
54	181	3120
55	181	3067
56	182	3016
57	182	2966
58	183	2919
59	183	2874
60	183	2830
61	184	2787
62	184	2745
63	184	2704
64	185	2665
65	185	2627
66	185	2589
67	186	2553
68	186	2518
69	187	2484
70	187	2451
71	187	2419
72	188	2388
73	188	2357
74	188	2327
75	189	2299
76	189	2270
77	189	2243
78	190	2216
79	190	2190
80	190	2164
81	191	2140
82	191	2114
83	191	2090
84	192	2067
85	192	2045
86	192	2023
87	193	2001
88	193	1980
89	193	1959
90	194	1939
91	194	1919
92	194	1900
93	195	1881
94	195	1863
95	195	1844
96	196	1827
97	196	1809
98	196	1792
99	197	1775
100	197	1759
101	197	1743
102	198	1727
103	198	1712
104	199	1697
105	199	1682
106	199	1667
107	200	1653
108	200	1639
109	200	1625
110	201	1611
111	201	1598
112	201	1584
113	202	1571
114	202	1559
115	202	1546
116	203	1533
117	203	1521
118	203	1509
119	204	1497
120	204	1486
121	204	1474
122	205	1463
123	205	1452
124	205	1441
125	206	1430
126	206	1419
127	206	1409
128	207	1399
129	207	1389
130	207	1379
131	208	1369
132	208	1359
133	208	1350
134	209	1340
135	209	1331
136	209	1322
137	210	1313
138	210	1305
139	211	1296
140	211	1287
141	211	1278
142	211	1270
143	212	1262
144	212	1254
145	213	1246
146	213	1238
147	213	1230
148	214	1223
149	214	1215
150	214	1208
151	215	1200
152	215	1193
153	215	1186
154	216	1179
155	216	1171
156	216	1165
157	217	1158
158	217	1151
159	218	1144
160	218	1137
161	218	1130
162	218	1124
163	219	1117
164	219	1111
165	219	1105
166	220	1098
167	220	1092
168	221	1086
169	221	1080
170	221	1074
171	222	1069
172	222	1063
173	222	1057
174	223	1051
175	223	1046
176	223	1040
177	224	1035
178	224	1029
179	224	1024
180	225	1018
181	225	1013
182	225	1008
183	226	1003
184	226	998
185	226	993
186	227	988
187	227	983
188	228	978
189	228	974
190	228	969
191	229	964
192	229	959
193	229	955
194	230	950
195	230	945
196	230	941
197	231	936
198	231	932
199	231	927
200	232	923
201	232	919
202	232	914
203	233	910
204	233	906
205	234	902
206	234	897
207	234	893
208	235	889
209	235	885
210	235	881
211	236	877
212	236	873
213	236	869
214	237	866
215	237	862
216	237	858
217	238	854
218	238	850
219	238	846
220	239	843
221	239	839
222	239	836
223	240	832
224	240	829
225	241	825
226	241	822
227	241	818
228	242	815
229	242	811
230	242	808
231	243	805
232	243	801
233	243	798
234	244	795
235	244	792
236	245	788
237	245	785
238	245	782
239	246	779
240	246	776
241	246	772
242	247	769
243	247	766
244	247	763
245	248	760
246	248	757
247	248	754
248	249	751
249	249	748
250	249	745
251	250	742
252	250	739
253	250	736
254	251	733
255	251	731
256	251	728
257	252	725
258	252	722
259	252	719
260	253	717
261	253	714
262	253	711
263	254	709
264	254	706
265	255	703
266	255	701
267	255	698
268	256	695
269	256	693
270	256	690
271	257	688
272	257	685
273	257	683
274	258	680
275	258	678
276	258	675
277	259	673
278	259	670
279	259	668
280	260	666
281	260	663
282	261	661
283	261	658
284	261	656
285	262	654
286	262	651
287	262	649
288	263	647
289	263	645
290	263	642
291	264	640
292	264	638
293	264	636
294	265	633
295	265	631
296	265	629
297	266	627
298	266	625
299	266	622
300	267	620
301	267	618
302	267	616
303	268	614
304	268	612
305	269	610
306	269	608
307	269	606
308	270	604
309	270	602
310	270	599
311	271	597
312	271	595
313	271	593
314	272	591
315	272	589
316	272	588
317	273	586
318	273	584
319	273	582
320	274	580
321	274	578
322	275	576
323	275	574
324	275	572
325	276	570
326	276	568
327	276	567
328	277	565
329	277	563
330	277	561
331	278	559
332	278	557
333	278	555
334	279	554
335	279	552
336	279	550
337	280	548
338	280	547
339	280	545
340	281	543
341	281	541
342	281	540
343	282	538
344	282	536
345	283	535
346	283	533
347	283	531
348	284	529
349	284	528
350	284	526
351	285	524
352	285	523
353	285	521
354	286	519
355	286	518
356	286	516
357	287	515
358	287	513
359	287	511
360	288	510
361	288	508
362	288	507
363	289	505
364	289	503
365	290	502
366	290	500
367	290	499
368	291	497
369	291	496
370	291	494
371	292	493
372	292	491
373	292	490
374	293	488
375	293	487
376	293	485
377	294	484
378	294	482
379	294	481
380	295	479
381	295	478
382	296	476
383	296	475
384	296	473
385	297	472
386	297	471
387	297	469
388	298	468
389	298	466
390	298	465
391	299	463
392	299	462
393	299	461
394	300	459
395	300	458
396	300	456
397	301	455
398	301	454
399	301	452
400	302	451
401	302	450
402	303	448
403	303	447
404	303	446
405	304	444
406	304	443
407	304	442
408	305	440
409	305	439
410	305	438
411	306	436
412	306	435
413	306	434
414	307	433
415	307	431
416	307	430
417	308	429
418	308	428
419	309	426
420	309	425
421	309	424
422	310	423
423	310	422
424	311	420
425	311	419
426	311	418
427	312	417
428	312	415
429	312	414
430	313	413
431	313	412
432	313	411
433	314	409
434	314	408
435	314	407
436	315	406
437	315	405
438	316	403
439	316	402
440	316	401
441	317	400
442	317	399
443	317	398
444	318	396
445	318	395
446	318	394
447	319	393
448	319	392
449	320	391
450	320	390
451	320	388
452	321	387
453	321	386
454	321	385
455	322	384
456	322	383
457	322	382
458	323	381
459	323	380
460	324	378
461	324	377
462	324	376
463	325	375
464	325	374
465	325	373
466	326	372
467	326	371
468	326	370
469	327	369
470	327	367
471	327	366
472	328	365
473	328	364
474	328	363
475	329	362
476	329	361
477	329	360
478	330	359
479	330	358
480	331	357
481	331	356
482	331	355
483	332	354
484	332	353
485	332	352
486	333	351
487	333	350
488	334	349
489	334	348
490	334	347
491	335	346
492	335	345
493	335	344
494	336	343
495	336	341
496	336	340
497	337	339
498	337	339
499	338	338
500	338	337
501	338	336
502	339	335
503	339	334
504	339	333
505	340	332
506	340	331
507	340	330
508	341	329
509	341	328
510	342	327
511	342	326
512	343	325
513	343	324
514	343	323
515	344	322
516	344	321
517	344	320
518	345	319
519	345	319
520	345	318
521	346	317
522	346	316
523	347	315
524	347	314
525	348	313
526	348	312
527	348	311
528	349	310
529	349	310
530	349	309
531	350	308
532	350	307
533	351	306
